"Datum"	"Positief getest werkelijk"	"Opgenomen (geweest) in ziekenhuis"	"Overleden"	"Opgenomen (geweest) op IC"	"Op dit moment op IC"
2020-01-01	4	0	0	0	None
2020-01-04	5	0	0	0	None
2020-01-06	6	0	0	0	None
2020-01-13	8171396	939510	22362	0	None
2020-01-14	8171396	939510	22362	0	None
2020-01-15	8171396	939510	22362	0	None
2020-01-16	7	0	0	0	None
2020-01-17	8171396	939510	22362	0	None
2020-01-18	8171396	939510	22362	0	None
2020-01-19	8171396	939510	22362	0	None
2020-01-20	9	0	0	0	None
2020-01-21	8171396	939510	22362	0	None
2020-01-22	10	0	0	0	None
2020-01-23	8171396	939510	22362	0	None
2020-01-24	12	0	0	0	None
2020-01-25	13	0	0	0	None
2020-01-26	15	0	0	0	None
2020-01-27	18	0	0	0	None
2020-01-28	8171396	939510	22362	0	None
2020-01-29	19	0	0	0	None
2020-01-30	8171396	939510	22362	0	None
2020-01-31	22	0	1	0	None
2020-02-01	25	0	1	0	None
2020-02-02	8171396	939510	22362	0	None
2020-02-03	27	0	1	0	None
2020-02-04	8171396	939510	22362	0	None
2020-02-05	8171396	939510	22362	0	None
2020-02-06	29	0	1	0	None
2020-02-07	31	0	1	0	None
2020-02-08	8171396	939510	22362	0	None
2020-02-09	8171396	939510	22362	0	None
2020-02-10	36	0	1	0	None
2020-02-11	37	0	1	0	None
2020-02-12	39	0	1	0	None
2020-02-13	40	0	2	0	None
2020-02-14	44	0	2	0	None
2020-02-15	46	0	2	0	None
2020-02-16	49	0	2	0	None
2020-02-17	52	0	2	0	None
2020-02-18	53	0	2	0	None
2020-02-19	58	0	2	0	None
2020-02-20	67	0	4	0	None
2020-02-21	76	0	5	0	None
2020-02-22	81	0	5	0	None
2020-02-23	91	0	6	0	None
2020-02-24	113	0	8	0	None
2020-02-25	137	0	12	0	None
2020-02-26	171	0	16	0	None
2020-02-27	236	61	23	13	13
2020-02-28	306	126	28	14	14
2020-02-29	371	191	33	15	15
2020-03-01	505	263	42	17	17
2020-03-02	649	346	55	17	16
2020-03-03	777	436	61	19	18
2020-03-04	917	538	73	22	21
2020-03-05	1083	649	92	24	21
2020-03-06	1285	778	121	28	24
2020-03-07	1524	915	156	31	26
2020-03-08	1764	1071	180	36	32
2020-03-09	2213	1252	234	44	38
2020-03-10	2632	1456	284	55	47
2020-03-11	3158	1696	360	64	54
2020-03-12	3735	1979	440	87	74
2020-03-13	4413	2331	530	100	84
2020-03-14	5108	2722	619	121	103
2020-03-15	5867	3161	733	150	127
2020-03-16	6924	3733	888	183	157
2020-03-17	7749	4389	1020	218	185
2020-03-18	8614	5173	1168	274	236
2020-03-19	9437	6166	1313	342	296
2020-03-20	10437	7331	1480	425	368
2020-03-21	11311	8576	1634	509	437
2020-03-22	12060	9923	1775	584	487
2020-03-23	13261	11597	1993	685	577
2020-03-24	14230	13524	2175	797	656
2020-03-25	15260	15669	2357	918	756
2020-03-26	16212	18011	2539	1033	843
2020-03-27	17285	20613	2720	1150	927
2020-03-28	18151	23154	2872	1254	991
2020-03-29	18951	25648	2994	1347	1042
2020-03-30	20070	28288	3166	1476	1126
2020-03-31	20925	30855	3299	1588	1192
2020-04-01	22045	33326	3460	1664	1208
2020-04-02	23072	35774	3578	1762	1251
2020-04-03	24125	38228	3726	1839	1277
2020-04-04	25123	40471	3860	1906	1283
2020-04-05	25911	42665	3957	1985	1310
2020-04-06	27063	44979	4112	2047	1317
2020-04-07	28059	47152	4250	2109	1319
2020-04-08	29094	49186	4383	2167	1288
2020-04-09	29980	51044	4497	2220	1285
2020-04-10	30995	52813	4627	2271	1293
2020-04-11	31829	54395	4708	2301	1261
2020-04-12	32564	55921	4809	2335	1242
2020-04-13	33342	57439	4876	2380	1226
2020-04-14	34097	58969	4981	2417	1203
2020-04-15	34842	60412	5064	2442	1178
2020-04-16	35552	61746	5155	2472	1145
2020-04-17	36251	63038	5223	2498	1114
2020-04-18	36855	64189	5287	2517	1069
2020-04-19	37318	65315	5338	2537	1039
2020-04-20	37970	66479	5407	2564	1018
2020-04-21	38444	67596	5469	2587	982
2020-04-22	38896	68633	5513	2602	924
2020-04-23	39306	69628	5552	2618	882
2020-04-24	39711	70566	5583	2637	865
2020-04-25	40084	71375	5626	2651	834
2020-04-26	40383	72155	5651	2664	806
2020-04-27	40712	72919	5681	2678	785
2020-04-28	41046	73700	5710	2694	764
2020-04-29	41362	74422	5739	2706	736
2020-04-30	41640	75119	5766	2725	713
2020-05-01	41975	75762	5802	2734	678
2020-05-02	42214	76322	5827	2745	641
2020-05-03	42423	76866	5855	2756	627
2020-05-04	42691	77459	5886	2768	617
2020-05-05	42896	77985	5905	2771	575
2020-05-06	43112	78525	5928	2778	549
2020-05-07	43323	79039	5946	2788	527
2020-05-08	43524	79552	5968	2796	496
2020-05-09	43717	80017	5984	2801	474
2020-05-10	43870	80464	5993	2805	455
2020-05-11	44101	80940	6013	2813	449
2020-05-12	44286	81387	6032	2815	407
2020-05-13	44462	81809	6043	2819	391
2020-05-14	44605	82197	6049	2828	365
2020-05-15	44776	82564	6062	2832	349
2020-05-16	44913	82888	6069	2840	334
2020-05-17	45075	83226	6083	2844	327
2020-05-18	45263	83596	6094	2848	322
2020-05-19	45458	83942	6102	2850	289
2020-05-20	45639	84274	6108	2852	278
2020-05-21	45838	84572	6117	2854	257
2020-05-22	46039	84900	6127	2858	246
2020-05-23	46223	85192	6133	2862	231
2020-05-24	46345	85476	6137	2869	230
2020-05-25	46543	85795	6145	2870	220
2020-05-26	46687	86108	6150	2874	197
2020-05-27	46853	86391	6154	2878	183
2020-05-28	46994	86653	6160	2879	175
2020-05-29	47136	86917	6162	2882	165
2020-05-30	47303	87164	6163	2885	156
2020-05-31	47428	87406	6167	2888	158
2020-06-01	47593	87652	6171	2893	156
2020-06-02	47731	87920	6175	2894	151
2020-06-03	47880	88180	6178	2899	137
2020-06-04	48036	88425	6181	2905	135
2020-06-05	48203	88653	6185	2908	132
2020-06-06	48364	88847	6189	2910	130
2020-06-07	48466	89041	6190	2913	129
2020-06-08	48611	89235	6193	2913	127
2020-06-09	48745	89409	6194	2915	120
2020-06-10	48904	89567	6195	2917	117
2020-06-11	49038	89729	6196	2918	113
2020-06-12	49177	89882	6197	2921	110
2020-06-13	49290	90016	6197	2923	108
2020-06-14	49395	90149	6200	2923	107
2020-06-15	49511	90285	6201	2924	106
2020-06-16	49594	90421	6203	2926	97
2020-06-17	49685	90549	6205	2926	88
2020-06-18	49752	90678	6206	2927	81
2020-06-19	49824	90803	6208	2927	74
2020-06-20	49902	90909	6208	2929	74
2020-06-21	49958	91016	6208	2929	70
2020-06-22	50039	91126	6212	2932	72
2020-06-23	50112	91237	6215	2933	65
2020-06-24	50204	91347	6216	2934	61
2020-06-25	50277	91464	6216	2935	60
2020-06-26	50340	91577	6217	2935	54
2020-06-27	50417	91669	6217	2935	49
2020-06-28	50474	91765	6217	2935	45
2020-06-29	50549	91870	6218	2935	45
