"Datum"	"Positief getest werkelijk"	"Opgenomen (geweest) in ziekenhuis"	"Overleden"	"Opgenomen (geweest) op IC"	"Op dit moment op IC"
2020-02-27	0	61	0	15470	13
2020-02-28	0	126	0	16660	14
2020-02-29	0	191	0	17850	15
2020-03-01	0	263	0	20230	17
2020-03-02	0	346	0	20230	16
2020-03-03	0	436	0	22610	18
2020-03-04	0	538	0	26180	21
2020-03-05	0	649	0	28560	21
2020-03-06	0	778	0	33320	24
2020-03-07	0	915	0	36890	26
2020-03-08	0	1071	0	42840	32
2020-03-09	0	1252	0	51170	37
2020-03-10	0	1456	0	63070	45
2020-03-11	0	1696	0	73780	52
2020-03-12	0	1979	0	101150	72
2020-03-13	0	2331	0	116620	82
2020-03-14	0	2722	0	141610	101
2020-03-15	0	3161	0	174930	123
2020-03-16	0	3733	0	214200	153
2020-03-17	0	4389	0	255850	182
2020-03-18	0	5173	0	322490	233
2020-03-19	0	6166	0	402220	293
2020-03-20	0	7331	0	502180	365
2020-03-21	0	8576	0	600950	435
2020-03-22	0	9922	0	690200	486
2020-03-23	0	11596	0	808010	575
2020-03-24	0	13522	0	940100	654
2020-03-25	0	15665	0	1084090	754
2020-03-26	0	18006	0	1218560	840
2020-03-27	0	20606	0	1357790	923
2020-03-28	0	23145	0	1481550	987
2020-03-29	0	25637	0	1591030	1038
2020-03-30	0	28275	0	1744540	1122
2020-03-31	0	30841	0	1876630	1187
2020-04-01	0	33309	0	1968260	1205
2020-04-02	0	35755	0	2084880	1250
2020-04-03	0	38207	0	2176510	1277
2020-04-04	0	40448	0	2255050	1282
2020-04-05	0	42639	0	2345490	1306
2020-04-06	0	44950	0	2418080	1313
2020-04-07	0	47121	0	2489480	1315
2020-04-08	0	49152	0	2558500	1286
2020-04-09	0	51008	0	2620380	1283
2020-04-10	0	52775	0	2679880	1290
2020-04-11	0	54355	0	2715580	1260
2020-04-12	0	55879	0	2756040	1241
2020-04-13	0	57394	0	2809590	1225
2020-04-14	0	58923	0	2854810	1203
2020-04-15	0	60366	0	2884560	1178
2020-04-16	0	61698	0	2920260	1144
2020-04-17	0	62988	0	2951200	1113
2020-04-18	0	64138	0	2973810	1068
2020-04-19	0	65260	0	2997610	1037
2020-04-20	0	66421	0	3029740	1016
2020-04-21	0	67536	0	3057110	981
2020-04-22	0	68571	0	3074960	923
2020-04-23	0	69565	0	3094000	882
2020-04-24	0	70503	0	3116610	864
2020-04-25	0	71312	0	3133270	833
2020-04-26	0	72091	0	3148740	806
2020-04-27	0	72854	0	3165400	785
2020-04-28	0	73633	0	3183250	764
2020-04-29	0	74354	0	3197530	736
2020-04-30	0	75051	0	3218950	712
2020-05-01	0	75694	0	3229660	678
2020-05-02	0	76254	0	3240370	639
2020-05-03	0	76798	0	3253460	626
2020-05-04	0	77390	0	3267740	615
2020-05-05	0	77915	0	3271310	574
2020-05-06	0	78455	0	3279640	548
2020-05-07	0	78969	0	3291540	527
2020-05-08	0	79482	0	3299870	495
2020-05-09	0	79947	0	3305820	473
2020-05-10	0	80394	0	3310580	455
2020-05-11	0	80870	0	3320100	449
2020-05-12	0	81317	0	3322480	407
2020-05-13	0	81738	0	3327240	391
2020-05-14	0	82126	0	3337950	365
2020-05-15	0	82493	0	3341520	348
2020-05-16	0	82817	0	3351040	333
2020-05-17	0	83155	0	3355800	327
2020-05-18	0	83525	0	3360560	322
2020-05-19	0	83871	0	3361750	288
2020-05-20	0	84203	0	3364130	278
2020-05-21	0	84501	0	3366510	257
2020-05-22	0	84829	0	3371270	246
2020-05-23	0	85121	0	3376030	231
2020-05-24	0	85405	0	3384360	230
2020-05-25	0	85724	0	3385550	220
2020-05-26	0	86037	0	3390310	197
2020-05-27	0	86320	0	3395070	183
2020-05-28	0	86582	0	3396260	175
2020-05-29	0	86846	0	3399830	165
2020-05-30	0	87093	0	3403400	156
2020-05-31	0	87335	0	3406970	158
2020-06-01	0	87581	0	3412920	156
2020-06-02	0	87849	0	3414110	151
2020-06-03	0	88108	0	3420060	137
2020-06-04	0	88352	0	3427200	135
2020-06-05	0	88579	0	3430770	132
2020-06-06	0	88773	0	3433150	130
2020-06-07	0	88967	0	3436720	129
2020-06-08	0	89161	0	3436720	127
2020-06-09	0	89335	0	3439100	120
2020-06-10	0	89493	0	3441480	117
2020-06-11	0	89655	0	3442670	113
2020-06-12	0	89808	0	3446240	110
2020-06-13	0	89942	0	3448620	108
2020-06-14	0	90075	0	3448620	107
2020-06-15	0	90211	0	3449810	106
2020-06-16	0	90347	0	3452190	97
2020-06-17	0	90475	0	3452190	88
2020-06-18	0	90604	0	3453380	81
2020-06-19	0	90729	0	3453380	74
2020-06-20	0	90835	0	3455760	74
2020-06-21	0	90942	0	3455760	70
2020-06-22	0	91052	0	3459330	72
2020-06-23	0	91163	0	3460520	65
2020-06-24	0	91273	0	3461710	61
2020-06-25	0	91390	0	3461710	59
2020-06-26	0	91503	0	3461710	53
2020-06-27	0	91595	0	3461710	49
2020-06-28	0	91691	0	3461710	45
2020-06-29	0	91796	0	3461710	45
2020-06-30	0	91887	0	3464090	45
2020-07-01	0	91976	0	3464090	41
2020-07-02	0	92058	0	3467660	43
2020-07-03	0	92140	0	3467660	40
2020-07-04	0	92212	0	3468850	41
2020-07-05	0	92287	0	3468850	39
2020-07-06	0	92366	0	3468850	38
2020-07-07	0	92447	0	3470040	36
2020-07-08	0	92526	0	3472420	33
2020-07-09	0	92605	0	3473610	33
2020-07-10	0	92694	0	3474800	34
2020-07-11	0	92775	0	3474800	32
2020-07-12	0	92856	0	3475990	33
2020-07-13	0	92944	0	3475990	32
2020-07-14	0	93033	0	3475990	29
2020-07-15	0	93115	0	3477180	29
2020-07-16	0	93193	0	3478370	28
2020-07-17	0	93269	0	3478370	28
2020-07-18	0	93352	0	3478370	27
2020-07-19	0	93438	0	3479560	28
2020-07-20	0	93527	0	3480750	28
2020-07-21	0	93615	0	3483130	28
2020-07-22	0	93692	0	3484320	28
2020-07-23	0	93776	0	3485510	26
2020-07-24	0	93858	0	3486700	25
2020-07-25	0	93943	0	3487890	22
2020-07-26	0	94030	0	3491460	23
2020-07-27	0	94125	0	3495030	26
2020-07-28	0	94223	0	3495030	26
2020-07-29	0	94312	0	3495030	25
2020-07-30	0	94405	0	3498600	27
2020-07-31	0	94502	0	3503360	30
2020-08-01	0	94600	0	3505740	31
2020-08-02	0	94708	0	3508120	32
2020-08-03	0	94826	0	3511690	35
2020-08-04	0	94937	0	3515260	37
2020-08-05	0	95043	0	3517640	36
