"Datum"	"Positief getest werkelijk"	"Opgenomen (geweest) in ziekenhuis"	"Overleden"	"Opgenomen (geweest) op IC"	"Op dit moment op IC"
2020-01-01	3	0	0	0	None
2020-01-04	4	0	0	0	None
2020-01-06	5	0	0	0	None
2020-01-13	917308	21491	13056	0	None
2020-01-14	917308	21491	13056	0	None
2020-01-15	917308	21491	13056	0	None
2020-01-16	6	0	0	0	None
2020-01-17	917308	21491	13056	0	None
2020-01-18	917308	21491	13056	0	None
2020-01-19	917308	21491	13056	0	None
2020-01-20	8	0	0	0	None
2020-01-21	917308	21491	13056	0	None
2020-01-22	9	0	0	0	None
2020-01-23	917308	21491	13056	0	None
2020-01-24	10	0	0	0	None
2020-01-25	11	0	0	0	None
2020-01-26	13	0	0	0	None
2020-01-27	16	0	0	0	None
2020-01-28	17	0	1	0	None
2020-01-29	18	0	1	0	None
2020-01-30	917308	21491	13056	0	None
2020-01-31	21	1	2	0	None
2020-02-01	24	3	2	0	None
2020-02-02	917308	21491	13056	0	None
2020-02-03	26	3	2	0	None
2020-02-04	917308	21491	13056	0	None
2020-02-05	917308	21491	13056	0	None
2020-02-06	28	3	2	0	None
2020-02-07	30	4	2	0	None
2020-02-08	917308	21491	13056	0	None
2020-02-09	917308	21491	13056	0	None
2020-02-10	35	6	2	0	None
2020-02-11	36	7	2	0	None
2020-02-12	38	7	2	0	None
2020-02-13	39	7	3	0	None
2020-02-14	43	8	3	0	None
2020-02-15	45	9	3	0	None
2020-02-16	48	11	3	0	None
2020-02-17	51	13	3	0	None
2020-02-18	52	14	3	0	None
2020-02-19	57	18	3	0	None
2020-02-20	66	24	5	0	None
2020-02-21	75	27	6	0	None
2020-02-22	80	27	6	0	None
2020-02-23	90	33	8	0	None
2020-02-24	112	40	10	0	None
2020-02-25	136	47	14	0	None
2020-02-26	169	59	18	0	None
2020-02-27	230	79	25	14	14
2020-02-28	293	97	30	15	15
2020-02-29	358	112	35	16	16
2020-03-01	492	152	44	18	18
2020-03-02	634	206	57	18	17
2020-03-03	760	248	63	20	19
2020-03-04	899	299	75	23	22
2020-03-05	1065	371	94	25	22
2020-03-06	1267	467	123	29	26
