"Datum"	"Positief getest werkelijk"	"Opgenomen (geweest) in ziekenhuis"	"Overleden"	"Opgenomen (geweest) op IC"	"Op dit moment op IC"
2020-01-01	1	0	0	0	0
2020-01-20	2	0	0	0	0
2020-01-29	3	0	0	0	0
2020-01-31	5	1	1	0	0
2020-02-01	8	3	1	0	0
2020-02-03	10	3	1	0	0
2020-02-06	12	3	1	0	0
2020-02-07	14	4	1	0	0
2020-02-10	18	6	1	0	0
2020-02-11	19	7	1	0	0
2020-02-12	21	7	1	0	0
2020-02-13	22	7	2	0	0
2020-02-14	26	8	2	0	0
2020-02-15	28	9	2	0	0
2020-02-16	31	11	2	0	0
2020-02-17	34	13	2	0	0
2020-02-18	35	14	2	0	0
2020-02-19	40	18	2	0	0
2020-02-20	49	24	4	0	0
2020-02-21	58	27	5	0	0
2020-02-22	63	27	5	0	0
2020-02-23	73	33	7	0	0
2020-02-24	95	40	9	0	0
2020-02-25	119	47	13	0	0
2020-02-26	152	59	17	0	0
2020-02-27	213	79	24	7	7
2020-02-28	276	97	29	8	8
2020-02-29	341	112	34	9	9
2020-03-01	475	152	43	11	11
2020-03-02	616	206	56	11	10
2020-03-03	742	248	62	13	12
2020-03-04	881	299	74	16	15
2020-03-05	1047	371	93	18	15
2020-03-06	1249	467	121	22	19
2020-03-07	1488	575	156	25	21
2020-03-08	1731	676	181	31	27
2020-03-09	2176	895	234	38	31
2020-03-10	2596	1102	283	47	37
2020-03-11	3124	1371	360	57	46
2020-03-12	3700	1671	440	80	67
2020-03-13	4375	2040	527	94	78
2020-03-14	5069	2403	614	112	94
2020-03-15	5827	2786	728	140	117
2020-03-16	6882	3343	881	173	146
2020-03-17	7707	3770	1013	209	175
2020-03-18	8571	4203	1159	263	224
2020-03-19	9396	4621	1303	327	281
2020-03-20	10396	5126	1461	414	356
2020-03-21	11269	5545	1612	495	424
2020-03-22	12018	5880	1751	569	477
2020-03-23	13217	6401	1967	669	569
2020-03-24	14182	6751	2147	781	650
2020-03-25	15211	7130	2329	900	750
2020-03-26	16157	7451	2507	1012	836
